ticket_id,customer_age,date_of_purchase,ticket_status,first_response_time,time_to_resolution,customer_satisfaction_rating,purchase_year,purchase_month,purchase_day,customer_name_encoded,customer_email_encoded,customer_gender_encoded,product_purchased_encoded,ticket_type_encoded,ticket_subject_encoded,ticket_description_encoded,resolution_encoded,ticket_priority_encoded,ticket_channel_encoded,customer_age_normalized
1,32,2021-03-22,Pending Customer Response,2023-06-01 12:15:36,,3.0,2021,3,22,5058,1084,2,16,4,13,3369,2573,0,3,0.2692307692307693
2,42,2021-05-22,Pending Customer Response,2023-06-01 16:45:38,,3.0,2021,5,22,3526,1334,0,21,4,10,2004,2573,0,0,0.4615384615384615
3,48,2020-07-14,Closed,2023-06-01 11:14:38,2023-06-01 18:05:38,3.0,2020,7,14,1510,2580,2,10,4,8,189,343,2,3,0.576923076923077
4,27,2020-11-13,Closed,2023-06-01 07:29:40,2023-06-01 01:57:40,3.0,2020,11,13,1400,741,0,25,0,0,1971,2549,2,3,0.1730769230769231
5,67,2020-02-04,Closed,2023-06-01 00:12:42,2023-06-01 19:53:42,1.0,2020,2,4,103,740,0,5,0,3,636,2658,2,1,0.9423076923076924
6,53,2020-07-28,Open,,,3.0,2020,7,28,6235,6778,1,25,1,9,343,2573,2,3,0.6730769230769232
7,24,2020-02-23,Open,,,3.0,2020,2,23,2969,1919,2,26,2,14,6242,2573,0,3,0.1153846153846154
8,23,2020-08-09,Open,,,3.0,2020,8,9,2083,3574,1,32,3,1,3835,2573,0,3,0.0961538461538462
9,60,2020-07-16,Pending Customer Response,2023-06-01 10:32:47,,3.0,2020,7,16,5915,3781,2,13,4,7,5251,2573,2,3,0.8076923076923078
10,27,2020-03-06,Pending Customer Response,2023-06-01 09:25:48,,3.0,2020,3,6,7923,1351,1,11,3,9,7442,2573,0,2,0.1730769230769231
11,48,2021-01-19,Closed,2023-06-01 17:46:49,2023-05-31 23:51:49,1.0,2021,1,19,3867,4878,1,30,1,3,3988,1368,1,2,0.576923076923077
12,51,2021-10-24,Closed,2023-06-01 12:05:51,2023-06-01 09:27:51,1.0,2021,10,24,857,1724,1,27,2,15,1206,1366,1,0,0.6346153846153847
13,27,2021-05-26,Pending Customer Response,2023-06-01 19:03:53,,3.0,2021,5,26,7320,3417,2,31,4,6,1389,2573,2,0,0.1730769230769231
14,65,2020-07-13,Pending Customer Response,2023-06-01 20:34:54,,3.0,2020,7,13,6725,2676,2,28,4,13,7099,2573,2,0,0.903846153846154
15,48,2020-02-29,Closed,2023-06-01 06:22:55,2023-05-31 23:08:55,4.0,2020,2,29,316,4929,0,38,0,13,2461,1568,1,0,0.576923076923077
16,18,2021-06-24,Pending Customer Response,2023-06-01 15:09:57,,3.0,2021,6,24,2365,259,2,15,0,12,652,2573,1,3,0.0
17,63,2021-10-13,Closed,2023-06-01 19:46:59,2023-06-01 15:58:59,4.0,2021,10,13,3999,7797,2,40,2,0,970,2044,0,0,0.8653846153846155
18,56,2020-09-07,Pending Customer Response,2023-06-01 21:05:01,,3.0,2020,9,7,3900,5268,0,27,2,9,5384,2573,1,0,0.730769230769231
19,19,2021-09-23,Open,,,3.0,2021,9,23,7875,787,1,22,2,10,4377,2573,1,3,0.0192307692307692
20,39,2021-03-08,Closed,2023-06-01 00:46:04,2023-06-01 20:29:04,5.0,2021,3,8,3265,3198,0,9,3,15,1754,2700,2,0,0.4038461538461538
21,28,2021-05-31,Pending Customer Response,2023-06-01 05:08:05,,3.0,2021,5,31,7304,6440,2,19,3,9,759,2573,1,0,0.1923076923076924
22,66,2020-02-04,Pending Customer Response,2023-05-31 23:57:07,,3.0,2020,2,4,7356,8240,1,13,1,7,2815,2573,0,3,0.9230769230769232
23,54,2020-02-11,Open,,,3.0,2020,2,11,7148,4538,0,40,1,4,3783,2573,3,3,0.6923076923076924
24,63,2021-08-06,Pending Customer Response,2023-06-01 09:06:09,,3.0,2021,8,6,589,1054,0,31,4,14,1727,2573,2,3,0.8653846153846155
25,19,2021-05-25,Open,,,3.0,2021,5,25,3651,4387,1,2,2,5,5852,2573,0,1,0.0192307692307692
26,35,2021-07-05,Pending Customer Response,2023-06-01 19:02:12,,3.0,2021,7,5,2729,3667,2,19,2,14,7511,2573,3,3,0.326923076923077
27,22,2020-05-02,Pending Customer Response,2023-06-01 20:02:13,,3.0,2020,5,2,6652,5942,2,23,0,2,48,2573,2,3,0.0769230769230769
28,21,2020-10-12,Open,,,3.0,2020,10,12,5481,3316,2,12,1,13,5911,2573,1,2,0.0576923076923077
29,30,2020-06-10,Closed,2023-05-31 23:17:17,2023-06-01 06:03:17,5.0,2020,6,10,1446,2456,2,12,4,12,5289,2177,0,2,0.2307692307692308
30,67,2020-12-26,Closed,2023-06-01 00:54:17,2023-06-01 18:23:17,1.0,2020,12,26,704,6801,1,40,1,2,4858,831,3,2,0.9423076923076924
31,22,2021-01-28,Open,,,3.0,2021,1,28,7880,3482,2,0,0,13,1849,2573,2,1,0.0769230769230769
32,60,2021-12-20,Closed,2023-06-01 06:42:21,2023-06-01 07:16:21,3.0,2021,12,20,6485,8303,1,15,4,11,2961,361,3,3,0.8076923076923078
33,36,2021-12-07,Pending Customer Response,2023-06-01 19:36:21,,3.0,2021,12,7,1404,2637,0,12,0,12,7027,2573,3,0,0.3461538461538461
